Stary plik;Nowa klasa;Stara funkcja;Nowa metoda;KOD podmiany
admin-menu.php;SRL_Admin_Menu;srl_enqueue_admin_scripts();enqueueAdminScripts();SRL_Admin_Menu::getInstance()->enqueueAdminScripts()
admin-menu.php;SRL_Admin_Menu;srl_enqueue_frontend_scripts();enqueueFrontendScripts();SRL_Admin_Menu::getInstance()->enqueueFrontendScripts()
admin-menu.php;SRL_Admin_Menu;srl_prepare_day_data();prepareDayData();SRL_Admin_Menu::getInstance()->prepareDayData()
admin-menu.php;SRL_Admin_Menu;srl_calculate_default_pilots();calculateDefaultPilots();SRL_Admin_Menu::getInstance()->calculateDefaultPilots()
admin-day.php;SRL_Admin_Day;srl_wyswietl_dzien();wyswietlDzien();SRL_Admin_Day::wyswietlDzien()
admin-calendar.php;SRL_Admin_Calendar;srl_wyswietl_kalendarz();wyswietlKalendarz();SRL_Admin_Calendar::wyswietlKalendarz()
admin-flights.php;SRL_Admin_Flights;srl_wyswietl_wykupione_loty();wyswietlWykupioneLoty();SRL_Admin_Flights::wyswietlWykupioneLoty()
admin-flights.php;SRL_Admin_Flights;srl_render_styles();renderStyles();SRL_Admin_Flights::renderStyles()
admin-flights.php;SRL_Admin_Flights;srl_render_scripts();renderScripts();SRL_Admin_Flights::renderScripts()
admin-vouchers.php;SRL_Admin_Vouchers;srl_wyswietl_vouchery();wyswietlVouchery();SRL_Admin_Vouchers::wyswietlVouchery()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_voucher_tabs();renderVoucherTabs();SRL_Admin_Vouchers::renderVoucherTabs()
admin-vouchers.php;SRL_Admin_Vouchers;srl_wyswietl_vouchery_partnera();wyswietlVoucheryPartnera();SRL_Admin_Vouchers::wyswietlVoucheryPartnera()
admin-vouchers.php;SRL_Admin_Vouchers;srl_wyswietl_zakupione_vouchery();wyswietlZakupioneVouchery();SRL_Admin_Vouchers::wyswietlZakupioneVouchery()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_voucher_status_badge();renderVoucherStatusBadge();SRL_Admin_Vouchers::renderVoucherStatusBadge()
admin-vouchers.php;SRL_Admin_Vouchers;srl_generate_partner_voucher_actions();generatePartnerVoucherActions();SRL_Admin_Vouchers::generatePartnerVoucherActions()
admin-vouchers.php;SRL_Admin_Vouchers;srl_handle_voucher_bulk_actions();handleVoucherBulkActions();SRL_Admin_Vouchers::handleVoucherBulkActions()
admin-vouchers.php;SRL_Admin_Vouchers;srl_get_voucher_pagination_data();getVoucherPaginationData();SRL_Admin_Vouchers::getVoucherPaginationData()
admin-vouchers.php;SRL_Admin_Vouchers;srl_get_vouchers_with_filters();getVouchersWithFilters();SRL_Admin_Vouchers::getVouchersWithFilters()
admin-vouchers.php;SRL_Admin_Vouchers;srl_get_voucher_stats();getVoucherStats();SRL_Admin_Vouchers::getVoucherStats()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_voucher_stats();renderVoucherStats();SRL_Admin_Vouchers::renderVoucherStats()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_voucher_filters();renderVoucherFilters();SRL_Admin_Vouchers::renderVoucherFilters()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_voucher_table();renderVoucherTable();SRL_Admin_Vouchers::renderVoucherTable()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_voucher_row();renderVoucherRow();SRL_Admin_Vouchers::renderVoucherRow()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_voucher_modals();renderVoucherModals();SRL_Admin_Vouchers::renderVoucherModals()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_partner_voucher_modals();renderPartnerVoucherModals();SRL_Admin_Vouchers::renderPartnerVoucherModals()
admin-vouchers.php;SRL_Admin_Vouchers;srl_render_partner_voucher_js();renderPartnerVoucherJs();SRL_Admin_Vouchers::renderPartnerVoucherJs()
admin-vouchers.php;SRL_Admin_Vouchers;srl_przetwarzaj_vouchery();przetwarzajVouchery();SRL_Admin_Vouchers::getInstance()->przetwarzajVouchery()
admin-voucher.php;SRL_Admin_Voucher;srl_wyswietl_vouchery();wyswietlVouchery();SRL_Admin_Voucher::wyswietlVouchery()
admin-voucher.php;SRL_Admin_Voucher;srl_wyswietl_vouchery_partnera();wyswietlVoucheryPartnera();SRL_Admin_Voucher::wyswietlVoucheryPartnera()
admin-voucher.php;SRL_Admin_Voucher;srl_render_partner_voucher_modals();renderPartnerVoucherModals();SRL_Admin_Voucher::renderPartnerVoucherModals()
admin-voucher.php;SRL_Admin_Voucher;srl_render_partner_voucher_js();renderPartnerVoucherJs();SRL_Admin_Voucher::renderPartnerVoucherJs()
admin-voucher.php;SRL_Admin_Voucher;srl_przetwarzaj_vouchery();przetwarzajVouchery();SRL_Admin_Voucher::getInstance()->przetwarzajVouchery()
